Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,0.38,100.0,3,true,false,0.001,1.0,2,200,2.0,2,1.3211952153429808e6,22235.764421064552,13317.511892530694,1009.8142783746488
-0.0,0.38,100.0,3,true,false,0.001,1.0,2,101,2.0,2,0.0,7.502635967975885e-12,1.5283088144012331,0.01496173742737125
-0.0,0.38,100.0,3,true,false,0.001,1.0,2,100,2.0,2,0.0,7.502635967975885e-12,63.38756591352607,0.19586858226501694
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,110,2.5,2,0.0,7.502635967975883e-12,64.36484738642409,0.16715170082065275
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,200,2.5,2,132386.01850938244,660.4579644089573,1988.2182257125128,26.996018673502274
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,101,2.5,2,0.0,7.502635967975883e-12,0.5924954530142806,0.00257522386665533
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,100,2.5,2,0.0,7.502635967975883e-12,19.49761874247644,0.032444361486827736
-0.0,-0.5,100.0,3,true,false,0.001,1.0,2,110,2.5,2,0.0,7.502635967975883e-12,273.1935096705885,1.6771504112447342
-0.0,-0.5,100.0,3,true,false,0.001,1.0,2,200,2.5,2,3.5604577621697444e6,58737.711984467554,30764.395452978682,2252.442593477606
-0.0,-0.5,100.0,3,true,false,0.001,1.0,2,101,2.5,2,0.0,7.502635967975883e-12,2.394372676066064,0.02119675726618214
-0.0,-0.5,100.0,3,true,false,0.001,1.0,2,100,2.5,2,0.0,7.502635967975883e-12,78.59608588729886,0.2858913195690193
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,110,2.5,2,0.0,7.502635967975883e-12,271.34437055128365,0.9315915032034474
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,200,2.5,2,3.490165026716056e6,27938.1632847244,32248.063181030444,1098.3899619555966
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,101,2.5,2,0.0,7.502635967975883e-12,2.3636328697069815,0.01154064148766232
-0.0,-0.0,100.0,3,true,false,0.001,1.0,2,100,2.5,2,0.0,7.502635967975883e-12,77.75839293401437,0.13643209780946108
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,101,3.0,2,0.0,7.502635967975885e-12,0.8391591167676049,0.0029102607326815513
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,200,3.0,2,297949.7390045112,1357.98474905093,3864.2211148295296,42.98993884544749
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,110,3.0,2,0.0,7.502635967975885e-12,107.45598905162818,0.24879810684588916
-0.0,-0.0,25.0,3,true,false,0.001,1.0,2,100,3.0,2,0.0,7.502635967975885e-12,23.10365242937669,0.03107010227370295
-0.0,-0.6000000000000001,100.0,3,true,false,0.001,1.0,2,110,3.0,2,0.0,7.502635967975885e-12,452.5003545915463,3.2266067195133092
-0.0,-0.6000000000000001,100.0,3,true,false,0.001,1.0,2,200,3.0,2,7.218129446123683e6,103786.91365093962,56149.49917797609,3978.341023817694
-0.0,-0.6000000000000001,100.0,3,true,false,0.001,1.0,2,101,3.0,2,0.0,7.502635967975885e-12,3.406457796526044,0.03182851816379171
-0.0,-0.6000000000000001,100.0,3,true,false,0.001,1.0,2,100,3.0,2,0.0,7.502635967975885e-12,93.00938533987197,0.3385161081519305
-0.0,-0.516,100.0,3,true,false,0.001,1.0,2,110,3.0,2,0.0,7.502635967975885e-12,449.6233224845069,2.882128296589807
-0.0,-0.516,100.0,3,true,false,0.001,1.0,2,200,3.0,2,7.35706931191432e6,112769.65359441919,64138.85066789071,4606.02972251236
-0.0,-0.516,100.0,3,true,false,0.001,1.0,2,101,3.0,2,0.0,7.502635967975885e-12,3.3624034970704555,0.028030388515958238
